,country_code,country,year,overall_score,goal_1_score,goal_2_score,goal_3_score,goal_4_score,goal_5_score,goal_6_score,goal_7_score,goal_8_score,goal_9_score,goal_10_score,goal_11_score,goal_12_score,goal_13_score,goal_14_score,goal_15_score,goal_16_score,goal_17_score
0,FIN,Finland,2023,86.76059478,99.575,60.88675,95.38638462,97.16933333,92.11125,94.3276,93.0135,86.789,95.99571429,98.4685,91.23375,60.05957143,68.79366667,87.928,85.07,92.52109091,75.601
1,SWE,Sweden,2023,85.98139698,98.8885,63.074125,96.904,99.76166667,91.44025,95.0576,97.9735,84.96642857,97.58628571,94.965,90.38925,56.83057143,70.031,69.34866667,80.1882,88.50845455,85.77025
2,DNK,Denmark,2023,85.68363681,99.2155,71.02525,95.3985,99.33966667,86.998,90.7316,87.7305,87.56242857,96.98485714,98.156,93.0385,44.57171429,60.78066667,76.30333333,92.7924,93.84490909,82.148
3,DEU,Germany,2023,83.35844651,99.5105,72.366,93.03935714,97.16266667,81.92025,88.4434,77.16175,86.96728571,95.78842857,88.147,90.0965,55.41285714,64.002,73.996,79.2318,89.45754545,84.39025
5,FRA,France,2023,82.04834271,99.7285,72.390125,93.22457143,99.63,87.82325,89.2696,78.6155,85.306,92.77585714,87.4735,90.5295,60.51542857,73.83466667,65.6775,68.8246,76.09172727,73.1115
6,NOR,Norway,2023,82.00448915,99.2225,60.794875,97.11514286,97.98733333,92.87925,83.6618,98.53825,85.93242857,92.443,99.406,91.16475,39.77528571,20.685,74.579,74.1232,91.742,94.0265
8,POL,Poland,2023,81.80017556,99.0405,67.4935,85.16946154,97.4505,73.14575,84.3816,71.18575,86.86428571,80.272,93.3845,87.79975,74.13328571,75.28033333,72.1365,92.8682,77.37281818,72.62425
9,EST,Estonia,2023,81.68334647,99.9835,63.176,89.497,96.052,76.77775,84.074,77.99125,82.15542857,83.31514286,89.102,90.48225,52.60814286,61.46033333,87.50483333,96.1456,91.02390909,67.26775
10,GBR,United Kingdom,2023,81.65314272,98.9565,68.3895,93.07633333,98.193,84.10475,94.3934,74.77475,83.99028571,91.82385714,71.4835,91.3135,63.475,70.944,76.065,86.1742,81.0501,59.89575
11,HRV,Croatia,2023,81.49550882,99.9905,74.26,86.35785714,95.655,71.105,86.357,83.19925,82.74442857,74.67928571,94.184,80.7355,68.32542857,83.50566667,84.61133333,88.1698,72.1061,59.4375
12,SVN,Slovenia,2023,81.00665366,99.401,66.608875,92.35528571,95.61125,77.04125,87.8138,80.1565,84.89914286,80.81085714,100.0,85.64666667,54.059,69.11766667,71.2948,83.5722,80.51381818,68.211
13,LVA,Latvia,2023,80.68164288,99.9835,64.230125,84.30464286,97.83275,77.47225,89.1842,88.85275,84.46985714,77.00385714,72.641,86.69125,58.84042857,71.67533333,84.02616667,97.849,82.13981818,54.391
15,ESP,Spain,2023,80.42509149,98.739,65.396625,94.23785714,97.4235,86.8665,87.3514,78.07425,79.36557143,90.24685714,81.36,91.88475,67.94171429,80.19866667,59.525,66.423,79.23936364,62.9525
16,IRL,Ireland,2023,80.14793835,99.947,67.66175,94.441,98.985,77.6815,82.9052,74.77625,87.04242857,86.47328571,90.3215,90.78375,45.85842857,54.05266667,72.60933333,88.6492,89.11990909,61.20675
17,PRT,Portugal,2023,80.01748718,99.9375,64.283,92.07335714,98.59225,84.22075,80.2702,83.45875,81.20557143,82.21685714,84.41,88.016,67.41828571,84.10766667,49.38916667,73.9162,80.88272727,65.899
18,BEL,Belgium,2023,79.45505844,99.453,71.22025,93.39183333,95.31666667,87.83575,70.5962,73.97,84.28071429,97.10128571,100.0,88.14575,44.93885714,52.888,56.674,81.7988,85.76263636,67.36225
19,NLD,Netherlands,2023,79.42118915,99.265,67.65225,95.67085714,99.293,85.1,87.1896,72.01725,86.26257143,93.41057143,89.793,92.89725,47.65214286,43.279,55.329,77.8632,86.66627273,70.81925
20,JPN,Japan,2023,79.41412774,99.2955,75.177625,94.57407692,93.93433333,61.6995,84.9298,72.6325,88.19614286,94.40028571,80.5195,84.20966667,66.05957143,73.465,55.83783333,63.1462,86.32163636,75.641
23,ITA,Italy,2023,78.78683607,97.5035,69.82725,93.86342857,94.19,74.34975,80.8128,76.86225,79.86285714,87.505,77.905,74.64,71.55057143,79.86833333,62.645,79.9102,72.92127273,65.159
25,CAN,Canada,2023,78.49677968,99.6005,63.535,93.87384615,99.39966667,83.909,86.1186,80.28025,84.589,87.27514286,89.331,90.62975,51.69214286,39.61833333,62.1045,60.78,81.78427273,79.92425
27,GRC,Greece,2023,78.36883446,99.2315,66.624875,90.32485714,97.13575,65.4365,87.651,76.40125,73.79314286,81.571,84.6125,85.57775,64.80957143,80.218,65.81916667,81.1728,71.08127273,60.80925
28,ISL,Iceland,2023,78.26644181,99.8645,53.48428571,96.40807143,98.09333333,94.02166667,59.7898,99.55075,77.66766667,87.427,100.0,86.7695,37.72942857,51.42333333,62.7778,54.3635,93.836625,77.32225
29,CHL,Chile,2023,78.22377122,96.352,71.542875,88.39514286,97.76625,77.73075,89.3798,81.2805,84.06914286,75.332,25.493,85.52425,77.751,82.279,80.1826,61.1478,69.785,85.793
30,KOR,"Korea, Rep.",2023,78.06195027,99.4785,82.902125,92.78361538,92.33125,66.30325,74.0228,70.5735,85.52114286,99.12885714,82.632,87.03233333,73.10371429,69.745,55.42816667,54.1298,77.8756,64.0615
31,URY,Uruguay,2023,77.73837361,98.4625,67.56225,84.73392857,90.70775,76.3755,75.793,97.52225,84.24171429,59.87171429,51.8315,92.535,70.79157143,92.45266667,60.00066667,59.0504,78.12727273,81.49266667
